"CreatedAt","Assignee","Url","Title","Service","Content"
"6/3/2020 2:35:36 PM",,"https://github.com/MicrosoftDocs/azure-docs/issues/56287","Microsoft.Sql/servers/elasticPools metrics documentation outdated","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"6/2/2020 5:49:38 PM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/56211","The generic agent isn't called the ""OMS Linux agent""","azure-monitor","[articles/azure-monitor/platform/log-analytics-agent.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/log-analytics-agent.md)"
"6/2/2020 11:33:12 AM","femsulu","https://github.com/MicrosoftDocs/azure-docs/issues/56177","https://docs.microsoft.com/en-us/azure/azure-monitor/platform/agent-windows-troubleshoot    If the agent is communicating through a proxy server or firewall, there may be restrictions in place preventing communication from the source computer and the Azure Monitor service, firewall refers to azure/3rd party or any firewall??","azure-monitor","[articles/azure-monitor/platform/agent-windows-troubleshoot.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/agent-windows-troubleshoot.md)"
"6/2/2020 5:50:49 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56150","Can users be added to monitoring reader/contributor role at RG level?","azure-monitor","[articles/azure-monitor/app/proactive-email-notification.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/proactive-email-notification.md)"
"6/1/2020 6:03:42 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/56111","DependencyTelemetry.StartTime is deprecated","azure-monitor","[articles/azure-monitor/app/asp-net-dependencies.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-dependencies.md)"
"6/1/2020 2:29:40 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/56059","Security events","azure-monitor","[articles/azure-monitor/log-query/get-started-queries.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/log-query/get-started-queries.md)"
"6/1/2020 2:27:57 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/56058","Security events","azure-monitor","[articles/azure-monitor/platform/data-sources-windows-events.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-sources-windows-events.md)"
"5/31/2020 5:52:11 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56047","ARO v4 On Boarding Script CLI syntax error (az group deployment)","azure-monitor","[articles/azure-monitor/insights/container-insights-azure-redhat4-setup.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-azure-redhat4-setup.md)"
"5/30/2020 11:47:48 PM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/56026","Diagnostic settings shared among subscription","azure-monitor","[articles/azure-monitor/platform/resource-logs-collect-workspace.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/resource-logs-collect-workspace.md)"
"5/29/2020 10:39:32 PM","femsulu","https://github.com/MicrosoftDocs/azure-docs/issues/56001","Cannot view logs for AKS cluster","azure-monitor","[articles/azure-monitor/platform/data-platform-logs.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-platform-logs.md)"
"5/29/2020 9:38:44 PM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55998","AKS Insights: Portal frontend crash","azure-monitor","[articles/azure-monitor/insights/container-insights-analyze.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-analyze.md)"
"5/29/2020 3:32:32 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/55939","ToC","azure-monitor","[articles/azure-monitor/learn/quick-collect-azurevm.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/learn/quick-collect-azurevm.md)"
"5/28/2020 11:03:35 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55932","Link to Cloud Solution Provider (CSP) program is broken","azure-monitor","[articles/azure-monitor/platform/service-providers.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/service-providers.md)"
"5/28/2020 10:08:27 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55927","Example needed for log4net logging","azure-monitor","[articles/azure-monitor/app/worker-service.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/worker-service.md)"
"5/28/2020 7:16:55 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55910","Missing words","azure-monitor","[articles/azure-monitor/platform/diagnostics-extension-stream-event-hubs.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/diagnostics-extension-stream-event-hubs.md)"
"5/28/2020 5:06:32 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55900","Cant install dependency agent on Azure Linux VM (RHEL & Ubuntu)","azure-monitor","[articles/azure-monitor/insights/vminsights-dependency-agent-maintenance.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/vminsights-dependency-agent-maintenance.md)"
"5/28/2020 2:24:18 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55886","Metrics Dimensions Section - Open <a> tag","azure-monitor","[articles/storage/common/monitor-storage-reference.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/storage/common/monitor-storage-reference.md)"
"5/27/2020 8:32:54 PM","kobulloc-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55810","ASP.NET Core 3.x Minimum Version Confusion","azure-monitor","[articles/azure-monitor/app/asp-net-core.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-core.md)"
"5/27/2020 5:50:51 AM","reyang","https://github.com/MicrosoftDocs/azure-docs/issues/55726","Is OpenCensus a globally available feature?","azure-monitor","[articles/azure-monitor/app/opencensus-python.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/opencensus-python.md)"
"5/26/2020 9:29:01 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55698","Log Analytics Windows agent need to be 10.20.18038.0 or later.","azure-monitor","[articles/azure-monitor/platform/private-link-security.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/private-link-security.md)"
"5/26/2020 3:25:42 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55670","Incorrect statement about SQL Query collection in ASP.NET Core applications","azure-monitor","[articles/azure-monitor/app/asp-net-dependencies.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-dependencies.md)"
"5/26/2020 2:02:03 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55662","Provide instructions on custom dependency tracking for Javascript","azure-monitor","[articles/azure-monitor/app/auto-collect-dependencies.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/auto-collect-dependencies.md)"
"5/25/2020 12:40:27 PM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55591","Correction on text","azure-monitor","[articles/azure-monitor/insights/monitor-azure-resource.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/monitor-azure-resource.md)"
"5/25/2020 12:11:39 PM","vipulsparsh","https://github.com/MicrosoftDocs/azure-docs/issues/55589","Machine ID - AAD Correlation","azure-monitor","[articles/azure-monitor/insights/solution-office-365.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/solution-office-365.md)"
"5/25/2020 10:00:24 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/55583","Need an example on Java","azure-monitor","[articles/azure-monitor/platform/data-collector-api.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-collector-api.md)"
"5/25/2020 5:15:15 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55564","Is there a way to ignore localhost telemetry in Application Insights?","azure-monitor","[articles/azure-monitor/app/asp-net-core.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-core.md)"
"5/24/2020 12:02:56 PM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55538","'Customization' feature content is repeated twice","azure-monitor","[articles/azure-monitor/insights/redis-cache-insights-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/redis-cache-insights-overview.md)"
"5/23/2020 5:39:43 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55512","Is it possible to use EventCounters with .NET 4.7.1 app?","azure-monitor","[articles/azure-monitor/app/eventcounters.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/eventcounters.md)"
"5/22/2020 6:15:15 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55490","Document about dimension with high cardinality","azure-monitor","[articles/azure-monitor/app/get-metric.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/get-metric.md)"
"5/22/2020 1:16:14 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55470","elasticsearch error/access logs on app insights?","azure-monitor","[articles/azure-monitor/app/app-insights-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/app-insights-overview.md)"
"5/22/2020 9:19:50 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55455","Minor: code blocks syntax highlighting not working as author intended","azure-monitor","[articles/azure-monitor/app/opencensus-python.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/opencensus-python.md)"
"5/22/2020 7:03:09 AM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55445","Add a New Workspace","azure-monitor","[articles/azure-monitor/platform/agent-windows.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/agent-windows.md)"
"5/21/2020 7:54:59 PM","kobulloc-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55403","Network Latency for Telemetry Tracking","azure-monitor","[articles/azure-monitor/app/javascript.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/javascript.md)"
"5/21/2020 2:11:55 PM","femsulu","https://github.com/MicrosoftDocs/azure-docs/issues/55369","Difference between NSG Diagnostic Settings and NSG Flow Logs","azure-monitor","[articles/azure-monitor/insights/azure-networking-analytics.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/azure-networking-analytics.md)"
"5/21/2020 10:42:31 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55346","Documentation about deleting Application Insights Profiler","azure-monitor","[articles/azure-monitor/app/profiler.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/profiler.md)"
"5/21/2020 6:01:28 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55328","Release annotations - Image Missing","azure-monitor","[articles/azure-monitor/app/separate-resources.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/separate-resources.md)"
"5/20/2020 9:36:27 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55304","Pricing Information","azure-monitor","[articles/azure-monitor/app/app-insights-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/app-insights-overview.md)"
"5/20/2020 10:56:34 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/55257","Reference to legacy component (Status Monitor)","azure-monitor","[articles/azure-monitor/continuous-monitoring.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/continuous-monitoring.md)"
"5/20/2020 1:35:40 AM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55225","length of the logentry column?","azure-monitor","[articles/azure-monitor/faq.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/faq.md)"
"5/20/2020 1:29:27 AM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55224","Unclear how to obtain parameter <azureAroV4ResourceId>","azure-monitor","[articles/azure-monitor/insights/container-insights-azure-redhat4-setup.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-azure-redhat4-setup.md)"
"5/19/2020 10:35:29 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55214","LogAnalytics ","azure-monitor","[articles/azure-monitor/platform/manage-access.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/manage-access.md)"
"5/19/2020 9:40:40 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55208","Exercise - Create a website hosted on Azure (WordPress) - Portuguese version","azure-monitor","[articles/azure-monitor/platform/platform-logs-overview.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/platform-logs-overview.md)"
"5/19/2020 7:59:28 PM","SamaraSoucy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55198","Ideal Scenario, one creation comment to associate all parts","azure-monitor","[articles/azure-monitor/app/create-workspace-resource.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/create-workspace-resource.md)"
"5/19/2020 7:42:03 PM","SamaraSoucy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55193","Not finding ""Log Analytics Workspaces""","azure-monitor","[articles/azure-monitor/app/create-workspace-resource.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/create-workspace-resource.md)"
"5/18/2020 9:11:48 PM","markwolff","https://github.com/MicrosoftDocs/azure-docs/issues/55100","Seeking confirmation if the SOURCEMAPURL property is ignored...","azure-monitor","[articles/azure-monitor/app/source-map-support.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/source-map-support.md)"
"5/18/2020 2:23:57 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55066","Dropdown with multiple selection and ALL selected not working","azure-monitor","[articles/azure-monitor/platform/workbooks-dropdowns.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/workbooks-dropdowns.md)"
"5/17/2020 9:17:28 PM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55023","How to have access to the Alert Context content","azure-monitor","[articles/azure-monitor/platform/alerts-common-schema-integrations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-integrations.md)"
"5/17/2020 4:16:13 PM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/55011","Make each keyword a link","azure-monitor","[articles/azure-monitor/log-query/useful-operators.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/log-query/useful-operators.md)"
"5/17/2020 11:36:06 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/55008","Cannot load file or assembly","azure-monitor","[articles/azure-monitor/app/status-monitor-v2-get-started.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/status-monitor-v2-get-started.md)"
"5/15/2020 6:24:18 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/54953","Why the Sleep(5000)","azure-monitor","[articles/azure-monitor/app/console.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/console.md)"
"5/15/2020 4:18:41 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54940","Missing step","azure-monitor","[articles/azure-monitor/learn/quick-collect-linux-computer.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/learn/quick-collect-linux-computer.md)"
"5/14/2020 11:12:02 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54898","Docker logs are not readable warnings in omsagent.log","azure-monitor","[articles/azure-monitor/insights/containers.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/containers.md)"
"5/14/2020 7:36:18 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/54827","Document security restriction","azure-monitor","[articles/azure-monitor/platform/data-sources-windows-events.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/data-sources-windows-events.md)"
"5/14/2020 7:16:08 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54825","The default exception handler you provide is faulty","azure-monitor","[articles/azure-monitor/app/asp-net.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/asp-net.md)"
"5/14/2020 5:59:34 AM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/54822","Description of the metrics for Microsoft.Storage/storageAccounts/queueServices","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"5/14/2020 4:46:55 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54821","GitHub for this page","azure-monitor","[articles/azure-monitor/app/create-workspace-resource.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/create-workspace-resource.md)"
"5/14/2020 2:10:13 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54816","How to track/measure dependencies for App Service on Linux (Containers)","azure-monitor","[articles/azure-monitor/app/java-agent.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/java-agent.md)"
"5/13/2020 2:44:32 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54769","Where is full json schema","azure-monitor","[articles/azure-monitor/platform/alerts-common-schema-definitions.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-definitions.md)"
"5/13/2020 9:25:25 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/54745","Enable alerting on custom metric dimensions via the API","azure-monitor","[articles/azure-monitor/app/pre-aggregated-metrics-log-metrics.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/pre-aggregated-metrics-log-metrics.md)"
"5/13/2020 8:21:59 AM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54738","Performance considerations?","azure-monitor","[articles/azure-monitor/app/profiler-aspnetcore-linux.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/profiler-aspnetcore-linux.md)"
"5/13/2020 7:47:50 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54735","Can I export the ExpressRoute Network Performance to Event hub / Blob","azure-monitor","[articles/azure-monitor/insights/network-performance-monitor-expressroute.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/network-performance-monitor-expressroute.md)"
"5/13/2020 3:37:59 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54723","Purge command is not working","azure-monitor","[articles/azure-monitor/platform/delete-workspace.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/delete-workspace.md)"
"5/13/2020 2:13:12 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/54719","Collect logs with dotnet-trace","azure-monitor","[articles/azure-monitor/app/asp-net-troubleshoot-no-data.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/asp-net-troubleshoot-no-data.md)"
"5/12/2020 6:13:10 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/54691","workbook interactivity page needs updates from github version","azure-monitor","[articles/azure-monitor/platform/workbooks-interactive.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/workbooks-interactive.md)"
"5/12/2020 5:55:46 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54689","Sample of Set-ApplicationInsightsMonitoringConfig","azure-monitor","[articles/azure-monitor/app/status-monitor-v2-api-reference.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/status-monitor-v2-api-reference.md)"
"5/12/2020 5:44:56 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54687","MMA Agent status warning after install: Error attached","azure-monitor","[articles/azure-monitor/platform/agent-windows-troubleshoot.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/agent-windows-troubleshoot.md)"
