"CreatedAt","Assignee","Url","Title","Service","Content"
"7/8/2020 4:31:59 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/58655","Live metric domains don't resolve","azure-monitor","[articles/azure-monitor/app/ip-addresses.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/ip-addresses.md)"
"7/7/2020 8:06:47 AM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58536","Export to Power BI (M query)' grayed out ","azure-monitor","[articles/azure-monitor/platform/powerbi.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/powerbi.md)"
"7/6/2020 6:15:50 PM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/58490","C# example for the Azure Monitor Data Collector API uses incorrect encoding?","azure-monitor","[articles/azure-monitor/platform/data-collector-api.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-collector-api.md)"
"7/6/2020 2:44:54 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/58479","Error in example","azure-monitor","[articles/azure-monitor/app/ilogger.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/ilogger.md)"
"7/6/2020 10:07:55 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58463","Not able to get on-prem K8S logs in LogAnalytics Workspace","azure-monitor","[articles/azure-monitor/insights/container-insights-enable-arc-enabled-clusters.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-enable-arc-enabled-clusters.md)"
"7/5/2020 6:40:01 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/58433","Troubleshooting Logs: Wrong Framework","azure-monitor","[articles/azure-monitor/app/asp-net-troubleshoot-no-data.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net-troubleshoot-no-data.md)"
"7/3/2020 4:29:30 PM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/58382","Cassandra Connector Metrics for Cosmos","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"7/3/2020 12:42:59 PM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58374","Should your kql query should be for Category field, not CategoryValue?","azure-monitor","[articles/azure-monitor/platform/activity-log.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/activity-log.md)"
"7/3/2020 9:58:22 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58367","Permanent delete of Log Analytics","azure-monitor","[articles/azure-monitor/platform/delete-workspace.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/delete-workspace.md)"
"7/3/2020 7:16:57 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58358","Permanent workspace delete does not work","azure-monitor","[articles/azure-monitor/platform/delete-workspace.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/delete-workspace.md)"
"7/2/2020 7:00:04 PM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58324","What should go in the second settings, Components_dev Application Insights_Workspace Resource Id?","azure-monitor","[articles/azure-monitor/app/ip-collection.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/ip-collection.md)"
"7/1/2020 11:01:49 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/58260","Adaptive Sampling Configuration","azure-monitor","[articles/azure-monitor/app/worker-service.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/worker-service.md)"
"7/1/2020 3:59:01 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/58238","Enable client-side monitoring instructions out of date","azure-monitor","[articles/azure-monitor/app/azure-web-apps.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/azure-web-apps.md)"
"7/1/2020 4:59:00 AM","dkamstra","https://github.com/MicrosoftDocs/azure-docs/issues/58210","enable action group to use app script error: it will throw out error if app already has been assigned the ActionGroupsSecureWebhook” Role","azure-monitor","[articles/azure-monitor/platform/action-groups.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/action-groups.md)"
"6/30/2020 11:08:05 AM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58131","Not able to execute the script enable-monitoring.ps1 successfully","azure-monitor","[articles/azure-monitor/insights/container-insights-enable-arc-enabled-clusters.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-enable-arc-enabled-clusters.md)"
"6/30/2020 10:33:19 AM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58128","The threshold line example is not working","azure-monitor","[articles/azure-monitor/log-query/charts.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/log-query/charts.md)"
"6/30/2020 5:56:51 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58114","RBAC Permissions to be able to allow Pipeline to read Azure Monitor Alerts","azure-monitor","[articles/azure-monitor/app/continuous-monitoring.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/continuous-monitoring.md)"
"6/30/2020 4:08:18 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/58113","Where's the PHP support?","azure-monitor","[articles/azure-monitor/app/app-insights-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/app-insights-overview.md)"
"6/30/2020 4:04:04 AM","DawgFan","https://github.com/MicrosoftDocs/azure-docs/issues/58112","Azure teams are over-referencing this page in response to numerous deprecations","azure-monitor","[articles/azure-monitor/app/opencensus-python.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/opencensus-python.md)"
"6/29/2020 1:02:52 PM","ganga1980","https://github.com/MicrosoftDocs/azure-docs/issues/58052","Az Monitor setup for AKS Arc enabled cluster fails","azure-monitor","[articles/azure-monitor/insights/container-insights-enable-arc-enabled-clusters.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/container-insights-enable-arc-enabled-clusters.md)"
"6/29/2020 6:56:44 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/58032","build_signature method equivalent in Python3","azure-monitor","[articles/azure-monitor/platform/data-collector-api.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/data-collector-api.md)"
"6/27/2020 6:35:17 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/57996","Configuring Application Insights per Environment","azure-monitor","[articles/azure-monitor/app/asp-net.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net.md)"
"6/26/2020 6:46:53 PM","MonikaReddy-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57976","Enable new App Insights via ARM template","azure-monitor","[articles/azure-monitor/app/snapshot-debugger-upgrade.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/snapshot-debugger-upgrade.md)"
"6/26/2020 10:08:40 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/57939","Seems like the Azure Portal interface has change a bit and the page may need an update","azure-monitor","[articles/azure-monitor/insights/storage-insights-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/insights/storage-insights-overview.md)"
"6/26/2020 1:06:54 AM","KrishnaG-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57914","Microsoft.Compute/virtualMachines - Network In Total - Network Out Total","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"6/25/2020 7:08:35 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57889","Update Language","azure-monitor","[articles/azure-monitor/platform/diagnostic-settings-template.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/diagnostic-settings-template.md)"
"6/25/2020 3:40:01 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57868","Supported Region URLs has a typo and inconsistencies","azure-monitor","[articles/azure-monitor/platform/metrics-custom-overview.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/metrics-custom-overview.md)"
"6/25/2020 6:09:15 AM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/57838","Adding partner to Azure Monitor Integration partners page","azure-monitor","[articles/azure-monitor/platform/partners.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/partners.md)"
"6/25/2020 4:29:40 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/57829","Event table on demo site (https://portal.loganalytics.io/demo) has no data","azure-monitor","[articles/azure-monitor/log-query/get-started-portal.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/log-query/get-started-portal.md)"
"6/25/2020 3:15:45 AM","SwathiDhanwada-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57827","Setting event hub policy","azure-monitor","[articles/azure-monitor/platform/diagnostic-settings.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/diagnostic-settings.md)"
"6/23/2020 8:22:22 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/57716","The list of counters is incorrect for Asp.Net Core","azure-monitor","[articles/azure-monitor/app/performance-counters.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/performance-counters.md)"
"6/23/2020 11:39:10 AM","bwren","https://github.com/MicrosoftDocs/azure-docs/issues/57669","Log Analytics workspace","azure-monitor","[articles/azure-monitor/platform/diagnostic-settings.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/diagnostic-settings.md)"
"6/23/2020 12:11:32 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57642","Application Insights source map with Azure blob only uses root folder","azure-monitor","[articles/azure-monitor/app/source-map-support.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/source-map-support.md)"
"6/22/2020 7:38:06 PM","kobulloc-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/57619","I am unable to see live metrics, and request but it shows within Visual Studio 2019","azure-monitor","[articles/azure-monitor/app/asp-net.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/asp-net.md)"
"6/22/2020 6:34:44 PM","lgayhardt","https://github.com/MicrosoftDocs/azure-docs/issues/57613","This documentation page is not helpful","azure-monitor","[articles/azure-monitor/app/status-monitor-v2-get-started.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/status-monitor-v2-get-started.md)"
"6/22/2020 5:56:38 PM","shilpasharmaAM","https://github.com/MicrosoftDocs/azure-docs/issues/57611","App Service auto-scale - Service Bus queue active messages definition","azure-monitor","[articles/azure-monitor/platform/autoscale-common-metrics.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/platform/autoscale-common-metrics.md)"
