service,folder,file,type,test,link,media name,mediafolder,folder match
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , ./aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , ../../../includes/log-analytics-demo-environment.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , string-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , datetime-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , advanced-aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , json-data-structures.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , joins.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , False , charts.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , get-started-queries.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , ../../../includes/log-analytics-demo-environment.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , string-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , datetime-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , advanced-aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , json-data-structures.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , joins.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , False , charts.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , get-started-queries.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , ../../../includes/log-analytics-demo-environment.md,,,
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-separate-resources.md , Media    , True  , ./media/app-insights-asp-net/release-annotation.png,app-insights-asp-net/release-annotation.png,app-insights-asp-net,FALSE
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , string-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , datetime-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , advanced-aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , json-data-structures.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , advanced-query-writing.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , joins.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , False , charts.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , app-expression.md , Article  , False , workspace-expression.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , app-expression.md , Article  , False , workspace-expression.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , app-expression.md , Article  , False , ../../log-analytics/log-analytics-log-search.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , charts.md , Article  , False , advanced-aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , charts.md , Article  , False , ../../../includes/log-analytics-demo-environment.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Media    , False , media/aggregations/count-trend.png,aggregations/count-trend.png,aggregations,TRUE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , True  , .\media\app-insights-continuous-monitoring\001.png,app-insights-continuous-monitoring/001.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , True  , .\media\app-insights-continuous-monitoring\002.png,app-insights-continuous-monitoring/002.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-alerts.md , Media    , True  , ./media/app-insights-alerts/010-alert-drop.png,app-insights-alerts/010-alert-drop.png,app-insights-alerts,TRUE
