service,folder,file,type,link,media name,mediafolder,folder match
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , ./aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , ../../../includes/log-analytics-demo-environment.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , string-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , datetime-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , advanced-aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , json-data-structures.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , joins.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-aggregations.md , Article  , charts.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , get-started-queries.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , ../../../includes/log-analytics-demo-environment.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , string-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , datetime-operations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , advanced-aggregations.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , json-data-structures.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , joins.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , advanced-query-writing.md , Article  , charts.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , get-started-queries.md,,,
log-analytics\query-language ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics\query-language , aggregations.md , Article  , ../../../includes/log-analytics-demo-environment.md,,,
