service,folder,file,type,link,medianame,mediafolder,foldermatch
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-separate-resources.md , Media    , ./media/app-insights-asp-net/release-annotation.png,app-insights-asp-net/release-annotation.png,app-insights-asp-net,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , .\media\app-insights-continuous-monitoring\001.png,app-insights-continuous-monitoring/001.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , .\media\app-insights-continuous-monitoring\002.png,app-insights-continuous-monitoring/002.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , .\media\app-insights-continuous-monitoring\003.png,app-insights-continuous-monitoring/003.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , .\media\app-insights-continuous-monitoring\004.png,app-insights-continuous-monitoring/004.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , .\media\app-insights-continuous-monitoring\005.png,app-insights-continuous-monitoring/005.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-vsts-continuous-monitoring.md , Media    , .\media\app-insights-continuous-monitoring\006.png,app-insights-continuous-monitoring/006.png,app-insights-continuous-monitoring,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-transaction-diagnostics.md , Media    , media/app-insights-e2eTxn-diagnostics/4partsCrossComponent.png,app-insights-e2eTxn-diagnostics/4partsCrossComponent.png,app-insights-e2eTxn-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-transaction-diagnostics.md , Media    , media/app-insights-e2eTxn-diagnostics/allTelemetryDrawerOpened.png,app-insights-e2eTxn-diagnostics/allTelemetryDrawerOpened.png,app-insights-e2eTxn-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-transaction-diagnostics.md , Media    , media/app-insights-e2eTxn-diagnostics/exceptiondetail.png,app-insights-e2eTxn-diagnostics/exceptiondetail.png,app-insights-e2eTxn-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-transaction-diagnostics.md , Media    , media/app-insights-e2eTxn-diagnostics/profilerTraces.png,app-insights-e2eTxn-diagnostics/profilerTraces.png,app-insights-e2eTxn-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-transaction-diagnostics.md , Media    , media/app-insights-e2eTxn-diagnostics/searchResults.png,app-insights-e2eTxn-diagnostics/searchResults.png,app-insights-e2eTxn-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-website-monitoring.md , Media    , ./media/app-insights-nodejs-quick-start/006.png,app-insights-nodejs-quick-start/006.png,app-insights-nodejs-quick-start,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , opencensus-go.md , Media    , ./media/app-insights-nodejs-quick-start/application-map.png,app-insights-nodejs-quick-start/application-map.png,app-insights-nodejs-quick-start,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , opencensus-python.md , Media    , ./media/app-insights-nodejs-quick-start/application-map.png,app-insights-nodejs-quick-start/application-map.png,app-insights-nodejs-quick-start,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-website-monitoring.md , Media    , ./media/app-insights-nodejs-quick-start/instrumentation-key-001.png,app-insights-nodejs-quick-start/instrumentation-key-001.png,app-insights-nodejs-quick-start,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-previews.md , Media    , ./media/app-insights-preview/preview.png,app-insights-preview/preview.png,app-insights-preview,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-performance-diagnostics.md , Media    , ./media/app-insights-proactive-diagnostics/dependency_duration_degradation.png,app-insights-proactive-diagnostics/dependency_duration_degradation.png,app-insights-proactive-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-performance-diagnostics.md , Media    , ./media/app-insights-proactive-diagnostics/server_response_time_degradation.png,app-insights-proactive-diagnostics/server_response_time_degradation.png,app-insights-proactive-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , app-insights-proactive-performance-diagnostics.md , Media    , ./media/app-insights-proactive-diagnostics/smart_detection_configuration.png,app-insights-proactive-diagnostics/smart_detection_configuration.png,app-insights-proactive-diagnostics,FALSE
application-insights ,C:\Users\bwren\Git\azure-docs-pr\articles\application-insights , usage-funnels.md , Media    , ./media/app-insights-understand-usage-patterns/funnel1.png,app-insights-understand-usage-patterns/funnel1.png,app-insights-understand-usage-patterns,FALSE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-azure-key-vault.md , Media    , ./media/log-analytics-azure-keyvault/key-vault-analytics-symbol.png,log-analytics-azure-keyvault/key-vault-analytics-symbol.png,log-analytics-azure-keyvault,FALSE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-azure-key-vault.md , Media    , ./media/log-analytics-azure-keyvault/log-analytics-keyvault01.png,log-analytics-azure-keyvault/log-analytics-keyvault01.png,log-analytics-azure-keyvault,FALSE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-azure-key-vault.md , Media    , ./media/log-analytics-azure-keyvault/log-analytics-keyvault02.png,log-analytics-azure-keyvault/log-analytics-keyvault02.png,log-analytics-azure-keyvault,FALSE
log-analytics ,C:\Users\bwren\Git\azure-docs-pr\articles\log-analytics , log-analytics-azure-key-vault.md , Media    , ./media/log-analytics-azure-keyvault/log-analytics-keyvault-enable-diagnostics01.png,log-analytics-azure-keyvault/log-analytics-keyvault-enable-diagnostics01.png,log-analytics-azure-keyvault,FALSE
