OldArticle,NewArticle
monitoring-and-diagnostics\monitoring-roles-permissions-security.md,azure-monitor\platform\roles-permissions-security.md
monitoring-and-diagnostics\monitoring-overview-autoscale.md,azure-monitor\platform\autoscale-overview.md
monitoring-and-diagnostics\monitoring-archive-diagnostic-logs.md,azure-monitor\platform\archive-diagnostic-logs.md
monitoring-and-diagnostics\monitoring-archive-activity-log.md,azure-monitor\platform\archive-activity-log.md
monitoring-and-diagnostics\monitor-quick-audit-notify-action-in-subscription.md,azure-monitor\platform\quick-audit-notify-action-subscription.md
monitoring-and-diagnostics\monitoring-enable-diagnostic-logs-using-template.md,azure-monitor\platform\diagnostic-logs-stream-template.md
monitoring-and-diagnostics\monitoring-autoscale-scale-by-custom-metric.md,azure-monitor\platform\autoscale-custom-metric.md
monitoring-and-diagnostics\monitoring-activity-log-schema.md,azure-monitor\platform\activity-log-schema.md
monitoring-and-diagnostics\monitoring-diagnostic-logs-schema.md,azure-monitor\platform\tutorial-dashboards.md
monitoring-and-diagnostics\monitoring-metric-charts.md,azure-monitor\platform\metrics-charts.md
monitoring-and-diagnostics\monitoring-supported-metrics.md,azure-monitor\platform\metrics-supported.md
monitoring-and-diagnostics\monitoring-rest-api-walkthrough.md,azure-monitor\platform\rest-api-walkthrough.md
