filename,foldername,path,fullpath,tocheader,tocfolder,tocname,tocpath,title,description,services,documentationcenter,author,manager,editor,ms.assetid,ms.service,ms.workload,ms.tgt_pltfrm,ms.devlang,ms.topic,Type,ms.date,ms.author,ms.component
azure-management.md,azure-monitor,,azure-management.md,Concepts,Concepts,Concepts,Concepts\Azure management,Azure Management and Operations Management Suite (OMS) | Microsoft Docs,Overview of the areas of management for Azure applications and resources with links to content on Azure management tools that were previously bundled as Operations Management Suite (OMS).,,'',bwren,carmonm,tysonn,,azure-monitor,infrastructure-services,na,,article,overview,9/7/2018,bwren,
continuous-monitoring.md,azure-monitor,,continuous-monitoring.md,Concepts,Concepts,Concepts,Concepts\Continuous monitoring,Continuous monitoring with Azure Monitor | Microsoft Docs,Describes specific steps for using Azure Monitor to enable Continuous monitoring throughout your workflows.,azure-monitor,azure-monitor,bwren,carmonm,'',,azure-monitor,na,na,,conceptual,conceptual,10/12/2018,bwren,
data-locations.md,platform,platform,platform\data-locations.md,Concepts,Concepts\Data platform,Concepts,Concepts\Data platform\Data locations,Monitoring data locations in Azure Monitor | Microsoft Docs,Describes the different locations where monitoring data is stored in Azure including the Azure Monitor data platform.,,'',bwren,carmonm,tysonn,,azure-monitor,infrastructure-services,na,na,article,article,5/21/2019,bwren,
data-ingestion-time.md,platform,platform,platform\data-ingestion-time.md,Concepts,Concepts\Data platform,Concepts,Concepts\Data platform\Log data ingestion time,Log data ingestion time in Azure Monitor | Microsoft Docs,Explains the different factors that affect latency in collecting log data in Azure Monitor.,log-analytics,'',bwren,carmonm,tysonn,,log-analytics,infrastructure-services,na,,article,article,1/24/2019,bwren,
data-platform-logs.md,platform,platform,platform\data-platform-logs.md,Concepts,Concepts\Data platform,Concepts,Concepts\Data platform\Logs,Logs in Azure Monitor | Microsoft Docs,Describes logs in Azure Monitor which are used for advanced analysis of monitoring data.,,'',bwren,carmonm,tysonn,,monitoring,infrastructure-services,na,,conceptual,conceptual,0203/26/2019,bwren,
data-platform-metrics.md,platform,platform,platform\data-platform-metrics.md,Concepts,Concepts\Data platform,Concepts,Concepts\Data platform\Metrics,Metrics in Azure Monitor | Microsoft Docs,Describes metrics in Azure Monitor which are lightweight monitoring data capable of supporting near real-time scenarios.,,'',bwren,carmonm,tysonn,,monitoring,infrastructure-services,na,,conceptual,conceptual,3/26/2019,bwren,
data-platform.md,platform,platform,platform\data-platform.md,Concepts,Concepts\Data platform,Concepts,Concepts\Data platform\Overview,Azure Monitor data platform | Microsoft Docs,Monitoring data collected by Azure Monitor is separated into metrics that are lightweight and capable of supporting near real-time scenarios and logs that are used for advanced analysis.,,'',bwren,carmonm,tysonn,,monitoring,infrastructure-services,na,,conceptual,conceptual,3/26/2019,bwren,
data-retention-privacy.md,app,app,app\data-retention-privacy.md,Concepts,Concepts\Data security,Concepts,"Concepts\Data security\Application data collection, retention, and storage",Data retention and storage in Azure Application Insights | Microsoft Docs,Retention and privacy policy statement,application-insights,'',mrbullwinkle,carmonm,,a6268811-c8df-42b5-8b1b-1d5a7e94cbca,application-insights,tbd,ibiza,,conceptual,conceptual,5/9/2019,mbullwin,
data-security.md,platform,platform,platform\data-security.md,Concepts,Concepts\Data security,Concepts,Concepts\Data security\Log data,Log Analytics data security | Microsoft Docs,Learn about how Log Analytics protects your privacy and secures your data.,log-analytics,'',mgoedtel,carmonm,'',a33bb05d-b310-4f2c-8f76-f627e600c8e7,log-analytics,na,na,,conceptual,conceptual,3/4/2019,magoedte,
personal-data-mgmt.md,platform,platform,platform\personal-data-mgmt.md,Concepts,Concepts\Data security,Concepts,Concepts\Data security\Personal log data handling,Guidance for personal data stored in Azure Log Analytics| Microsoft Docs,This article describes how to manage personal data stored in Azure Log Analytics and the methods to identify and remove it.,log-analytics,'',mgoedtel,carmonm,'',,log-analytics,na,na,,conceptual,conceptual,5/18/2018,magoedte,
data-sources.md,platform,platform,platform\data-sources.md,Concepts,Concepts,Concepts,Concepts\Data sources,Sources of data in Azure Monitor | Microsoft Docs,Describes the data available to monitor the health and performance of your Azure resources and the applications running on them.,,'',bwren,carmonm,tysonn,,azure-monitor,infrastructure-services,na,na,article,article,5/23/2019,bwren,
troubleshoot-faq.md,app,app,app\troubleshoot-faq.md,Concepts,Concepts\FAQ,Concepts,Concepts\FAQ\Application Insights,Azure Application Insights FAQ | Microsoft Docs,Frequently asked questions about Application Insights.,application-insights,.net,mrbullwinkle,carmonm,,0e3b103c-6e2a-4634-9e8c-8b85cf5e9c84,application-insights,mobile,ibiza,,conceptual,conceptual,12/17/2018,mbullwin,
