"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","","index.yml"
"Overview","Overview\What is Azure Monitor?","Overview\","What is Azure Monitor?","overview.md","","overview.md"
"Overview","Overview\Terminology changes","Overview\","Terminology changes","azure-monitor-rebrand.md","","azure-monitor-rebrand.md"
"Quickstarts","Quickstarts\Applications\.NET application","Quickstarts\Applications\",".NET application","learn/quick-monitor-portal.md","learn/","quick-monitor-portal.md"
"Quickstarts","Quickstarts\Applications\.NET Core application","Quickstarts\Applications\",".NET Core application","learn/dotnetcore-quick-start.md","learn/","dotnetcore-quick-start.md"
"Quickstarts","Quickstarts\Applications\Node.js application","Quickstarts\Applications\","Node.js application","learn/nodejs-quick-start.md","learn/","nodejs-quick-start.md"
"Quickstarts","Quickstarts\Applications\Java application","Quickstarts\Applications\","Java application","learn/java-quick-start.md","learn/","java-quick-start.md"
"Quickstarts","Quickstarts\Applications\Mobile application","Quickstarts\Applications\","Mobile application","learn/mobile-center-quickstart.md","learn/","mobile-center-quickstart.md"
"Quickstarts","Quickstarts\Applications\Web application","Quickstarts\Applications\","Web application","app/website-monitoring.md ","learn/","app/website-monitoring.md"
"Quickstarts","Quickstarts\Virtual machines\Collect - Azure VMs","Quickstarts\Virtual machines\","Collect - Azure VMs","learn/quick-collect-azurevm.md","learn/","quick-collect-azurevm.md"
"Quickstarts","Quickstarts\Virtual machines\Collect - Linux computer","Quickstarts\Virtual machines\","Collect - Linux computer","learn/quick-collect-linux-computer.md","learn/","quick-collect-linux-computer.md"
"Quickstarts","Quickstarts\Virtual machines\Collect - Windows computer","Quickstarts\Virtual machines\","Collect - Windows computer","learn/quick-collect-windows-computer.md","learn/","quick-collect-windows-computer.md"
"Tutorials","Tutorials\Analyze data in log analytics","Tutorials\","Analyze data in log analytics","learn/tutorial-viewdata.md","learn/","tutorial-viewdata.md"
"Tutorials","Tutorials\Visualize data in log analytics","Tutorials\","Visualize data in log analytics","learn/tutorial-logs-dashboards.md","learn/","tutorial-logs-dashboards.md"
"Tutorials","Tutorials\Archive platform metric and log data","Tutorials\","Archive platform metric and log data","learn/tutorial-archive-data.md","learn/","tutorial-archive-data.md"
"Tutorials","Tutorials\Alert on log data","Tutorials\","Alert on log data","learn/tutorial-response.md","learn/","tutorial-response.md"
"Tutorials","Tutorials\Autoscale on performance and schedule","Tutorials\","Autoscale on performance and schedule","learn/tutorial-autoscale-performance-schedule.md","learn/","tutorial-autoscale-performance-schedule.md"
