#TYPE System.Management.Automation.PSCustomObject
"header","path","section","title","href","folder","name"
"Azure Monitor Documentation","Azure Monitor Documentation","","Azure Monitor Documentation","index.yml","platform/","index.yml"
"Overview","Overview\What is Azure Monitor?","Overview\","What is Azure Monitor?","overview.md","","overview.md"
"Overview","Overview\Branding changes","Overview\","Branding changes","azure-monitor-rebrand.md","","azure-monitor-rebrand.md"
"Quickstarts","Quickstarts\Applications\.NET application","Quickstarts\Applications\",".NET application","learn/quick-monitor-portal.md","learn/","quick-monitor-portal.md"
"Quickstarts","Quickstarts\Applications\.NET Core application","Quickstarts\Applications\",".NET Core application","learn/dotnetcore-quick-start.md","learn/","dotnetcore-quick-start.md"
"Quickstarts","Quickstarts\Applications\Node.js application","Quickstarts\Applications\","Node.js application","learn/nodejs-quick-start.md","learn/","nodejs-quick-start.md"
"Quickstarts","Quickstarts\Applications\Java application","Quickstarts\Applications\","Java application","learn/java-quick-start.md","learn/","java-quick-start.md"
"Quickstarts","Quickstarts\Applications\Mobile application","Quickstarts\Applications\","Mobile application","learn/mobile-center-quickstart.md","learn/","mobile-center-quickstart.md"
"Quickstarts","Quickstarts\Applications\Web application","Quickstarts\Applications\","Web application","app/website-monitoring.md ","learn/","app/website-monitoring.md"
"Quickstarts","Quickstarts\Virtual machines\Collect - Azure VMs","Quickstarts\Virtual machines\","Collect - Azure VMs","learn/quick-collect-azurevm.md","learn/","quick-collect-azurevm.md"
"Quickstarts","Quickstarts\Virtual machines\Collect - Linux computer","Quickstarts\Virtual machines\","Collect - Linux computer","learn/quick-collect-linux-computer.md","learn/","quick-collect-linux-computer.md"
"Quickstarts","Quickstarts\Virtual machines\Collect - Windows computer","Quickstarts\Virtual machines\","Collect - Windows computer","learn/quick-collect-windows-computer.md","learn/","quick-collect-windows-computer.md"
"Tutorials","Tutorials\Analyze data in Log Analytics","Tutorials\","Analyze data in Log Analytics","learn/tutorial-viewdata.md","learn/","tutorial-viewdata.md"
"Tutorials","Tutorials\Visualize data in Log Analytics","Tutorials\","Visualize data in Log Analytics","learn/tutorial-logs-dashboards.md","learn/","tutorial-logs-dashboards.md"
"Tutorials","Tutorials\Archive platform metric and log data","Tutorials\","Archive platform metric and log data","learn/tutorial-archive-data.md","learn/","tutorial-archive-data.md"
"Tutorials","Tutorials\Alert on log data","Tutorials\","Alert on log data","learn/tutorial-response.md","learn/","tutorial-response.md"
"Tutorials","Tutorials\Autoscale on performance and schedule","Tutorials\","Autoscale on performance and schedule","learn/tutorial-autoscale-performance-schedule.md","learn/","tutorial-autoscale-performance-schedule.md"
"Tutorials","Tutorials\Find application run-time exceptions","Tutorials\","Find application run-time exceptions","learn/tutorial-runtime-exceptions.md","learn/","tutorial-runtime-exceptions.md"
"Tutorials","Tutorials\Find application performance issues","Tutorials\","Find application performance issues","learn/tutorial-performance.md","learn/","tutorial-performance.md"
"Tutorials","Tutorials\Alert on application health","Tutorials\","Alert on application health","learn/tutorial-alert.md","learn/","tutorial-alert.md"
"Tutorials","Tutorials\Understand application users","Tutorials\","Understand application users","learn/tutorial-users.md","learn/","tutorial-users.md"
"Tutorials","Tutorials\Create custom dashboards","Tutorials\","Create custom dashboards","learn/tutorial-app-dashboards.md","learn/","tutorial-app-dashboards.md"
"Samples","Samples\Azure PowerShell","Samples\","Azure PowerShell","platform/powershell-samples.md","platform/","powershell-samples.md"
"Concepts","Concepts\Azure management","Concepts\","Azure management","azure-management.md","","azure-management.md"
"Concepts","Concepts\Continuous monitoring","Concepts\","Continuous monitoring","continuous-monitoring.md","","continuous-monitoring.md"
"Concepts","Concepts\Monitoring data\Metrics and logs","Concepts\Monitoring data\","Metrics and logs","platform/data-collection.md","platform/","data-collection.md"
"Concepts","Concepts\Monitoring data\Data sources","Concepts\Monitoring data\","Data sources","platform/data-sources.md","platform/","data-sources.md"
"Concepts","Concepts\Monitoring data\Azure data sources","Concepts\Monitoring data\","Azure data sources","platform/data-sources-reference.md","platform/","data-sources-reference.md"
"Concepts","Concepts\Monitoring data\Activity log","Concepts\Monitoring data\","Activity log","platform/activity-logs-overview.md","platform/","activity-logs-overview.md"
"Concepts","Concepts\Monitoring data\Diagnostic logs","Concepts\Monitoring data\","Diagnostic logs","platform/diagnostic-logs-overview.md ","platform/","platform/diagnostic-logs-overview.md"
"Concepts","Concepts\Monitoring data\Log data ingestion time","Concepts\Monitoring data\","Log data ingestion time","platform/data-ingestion-time.md  ","platform/","platform/data-ingestion-time.md"
"Concepts","Concepts\Monitoring data\Custom metrics to metric store","Concepts\Monitoring data\","Custom metrics to metric store","platform/metrics-custom-overview.md       ","platform/","platform/metrics-custom-overview.md"
"Concepts","Concepts\Monitoring data\Data security\Log data","Concepts\Monitoring data\Data security\","Log data","platform/data-security.md","platform/","data-security.md"
"Concepts","Concepts\Monitoring data\Data security\Personal log data handling","Concepts\Monitoring data\Data security\","Personal log data handling","platform/personal-data-mgmt.md","platform/","personal-data-mgmt.md"
"Concepts","Concepts\Monitoring data\Data security\Application data collection, retention, and storage","Concepts\Monitoring data\Data security\","Application data collection, retention, and storage","app/data-retention-privacy.md","app/","data-retention-privacy.md"
"Concepts","Concepts\Insights\Application Insights\Overview","Concepts\Insights\Application Insights\","Overview","app/app-insights-overview.md","app/","app-insights-overview.md"
"Concepts","Concepts\Insights\Application Insights\DevOps","Concepts\Insights\Application Insights\","DevOps","app/detect-triage-diagnose.md","app/","detect-triage-diagnose.md"
"Concepts","Concepts\Insights\Application Insights\Distributed tracing","Concepts\Insights\Application Insights\","Distributed tracing","app/distributed-tracing.md","app/","distributed-tracing.md"
"Concepts","Concepts\Insights\Application Insights\Log-based & pre-aggregated metrics","Concepts\Insights\Application Insights\","Log-based & pre-aggregated metrics","app/pre-aggregated-metrics-log-metrics.md","app/","pre-aggregated-metrics-log-metrics.md"
"Concepts","Concepts\Insights\Containers","Concepts\Insights\","Containers","insights/container-insights-overview.md","insights/","container-insights-overview.md"
"Concepts","Concepts\Insights\Virtual Machines","Concepts\Insights\","Virtual Machines","insights/vminsights-overview.md","insights/","vminsights-overview.md"
"Concepts","Concepts\Insights\Monitoring solutions","Concepts\Insights\","Monitoring solutions","insights/solutions-inventory.md","insights/","solutions-inventory.md"
"Concepts","Concepts\Analyze data\Log Analytics","Concepts\Analyze data\","Log Analytics","log-query/log-query-overview.md","log-query/","log-query-overview.md"
"Concepts","Concepts\Analyze data\Log query portals","Concepts\Analyze data\","Log query portals","log-query/portals.md","log-query/","portals.md"
"Concepts","Concepts\Analyze data\OMS portal transition\Log-based & pre-aggregated metrics\Overview","Concepts\Analyze data\OMS portal transition\Log-based & pre-aggregated metrics\","Overview","platform/oms-portal-transition.md","platform/","oms-portal-transition.md"
"Concepts","Concepts\Analyze data\OMS portal transition\Log-based & pre-aggregated metrics\Common questions","Concepts\Analyze data\OMS portal transition\Log-based & pre-aggregated metrics\","Common questions","platform/oms-portal-faq.md","platform/","oms-portal-faq.md"
"Concepts","Concepts\Respond to incidents\Alerts","Concepts\Respond to incidents\","Alerts","platform/alerts-overview.md","platform/","alerts-overview.md"
"Concepts","Concepts\Respond to incidents\Classic alerts","Concepts\Respond to incidents\","Classic alerts","platform/alerts-classic.overview.md  ","platform/","platform/alerts-classic.overview.md"
"Concepts","Concepts\Respond to incidents\Smart groups","Concepts\Respond to incidents\","Smart groups","platform/alerts-smartgroups-overview.md  ","platform/","platform/alerts-smartgroups-overview.md"
"Concepts","Concepts\Respond to incidents\Autoscale","Concepts\Respond to incidents\","Autoscale","platform/autoscale-overview.md","platform/","autoscale-overview.md"
"Concepts","Concepts\Respond to incidents\Metric alerts","Concepts\Respond to incidents\","Metric alerts","platform/alerts-metric-overview.md","platform/","alerts-metric-overview.md"
"Concepts","Concepts\Respond to incidents\Log alerts","Concepts\Respond to incidents\","Log alerts","platform/alerts-unified-log.md","platform/","alerts-unified-log.md"
"Concepts","Concepts\Respond to incidents\Activity log alerts","Concepts\Respond to incidents\","Activity log alerts","platform/activity-log-alerts.md  ","platform/","platform/activity-log-alerts.md"
"Concepts","Concepts\Visualize data","Concepts\","Visualize data","visualizations.md","","visualizations.md"
"Concepts","Concepts\Partner integrations","Concepts\","Partner integrations","platform/partners.md","platform/","partners.md"
"Concepts","Concepts\FAQ\Log Analytics","Concepts\FAQ\","Log Analytics","platform/log-faq.md","platform/","log-faq.md"
"Concepts","Concepts\FAQ\Application Insights","Concepts\FAQ\","Application Insights","app/troubleshoot-faq.md","app/","troubleshoot-faq.md"
"How-to guides","How-to guides\Plan and prepare\Manage access\Roles permissions and security","How-to guides\Plan and prepare\Manage access\","Roles permissions and security","platform/roles-permissions-security.md","platform/","roles-permissions-security.md"
"How-to guides","How-to guides\Plan and prepare\Manage access\Workspaces","How-to guides\Plan and prepare\Manage access\","Workspaces","platform/manage-access.md","platform/","manage-access.md"
"How-to guides","How-to guides\Plan and prepare\Manage access\Applications","How-to guides\Plan and prepare\Manage access\","Applications","app/resources-roles-access-control.md","app/","resources-roles-access-control.md"
"How-to guides","How-to guides\Plan and prepare\Manage access\IP addresses","How-to guides\Plan and prepare\Manage access\","IP addresses","app/ip-addresses.md","app/","ip-addresses.md"
"How-to guides","How-to guides\Plan and prepare\Monitor applications\Deep diagnostics for web apps and services","How-to guides\Plan and prepare\Monitor applications\","Deep diagnostics for web apps and services","app/devops.md","app/","devops.md"
"How-to guides","How-to guides\Plan and prepare\Monitor applications\Monitor performance in web applications","How-to guides\Plan and prepare\Monitor applications\","Monitor performance in web applications","app/web-monitor-performance.md","app/","web-monitor-performance.md"
"How-to guides","How-to guides\Plan and prepare\Monitor applications\Separate development, test, and production","How-to guides\Plan and prepare\Monitor applications\","Separate development, test, and production","app/separate-resources.md","app/","separate-resources.md"
"How-to guides","How-to guides\Plan and prepare\Monitor applications\How do I ... in Application Insights?","How-to guides\Plan and prepare\Monitor applications\","How do I ... in Application Insights?","app/how-do-i.md","app/","how-do-i.md"
"How-to guides","How-to guides\Plan and prepare\Manage workspaces\Create a workspace\Use Azure portal","How-to guides\Plan and prepare\Manage workspaces\Create a workspace\","Use Azure portal","learn/quick-create-workspace.md ","app/","learn/quick-create-workspace.md"
"How-to guides","How-to guides\Plan and prepare\Manage workspaces\Create a workspace\Use Azure CLI","How-to guides\Plan and prepare\Manage workspaces\Create a workspace\","Use Azure CLI","learn/quick-create-workspace-cli.md","learn/","quick-create-workspace-cli.md"
"How-to guides","How-to guides\Plan and prepare\Manage workspaces\Create a workspace\Use Azure PowerShell","How-to guides\Plan and prepare\Manage workspaces\Create a workspace\","Use Azure PowerShell","learn/quick-create-workspace-posh.md","learn/","quick-create-workspace-posh.md"
