TableName,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Standard Property,Needs validation
ADReplicationResult,_ResourceId,26,System.String,string,,Yes,
ADReplicationResult,AssessmentId,18,System.String,string,Unique Guid corresponding to each run,No,
ADReplicationResult,Computer,24,System.String,string,Computer Name where the solution ran,No,
ADReplicationResult,ConsecutiveFailures,8,System.Int32,int,Number of consecutive replication failures between two Domain Controllers,No,
ADReplicationResult,DestinationServer,4,System.String,string,AD Replication Destination Server,No,
ADReplicationResult,DestinationSiteName,15,System.String,string,AD Replication Destination Site Name,No,
ADReplicationResult,HelpLink,9,System.String,string,Help Link for more information,No,
ADReplicationResult,IsDestinationGC,13,System.SByte,bool,Is Destinationation Global Catalog,No,
ADReplicationResult,IsSourceGC,12,System.SByte,bool,Is Source Global Catalog,No,
ADReplicationResult,LastAttemptedSync,6,System.DateTime,datetime,Last Attempted Replication DateTime,No,
ADReplicationResult,LastSuccessfulSync,7,System.DateTime,datetime,Last Successful DateTime,No,
ADReplicationResult,LastSyncMessage,2,System.String,string,Last Replication Sync Message,No,
ADReplicationResult,LastSyncResult,1,System.Int32,int,Last Replication Sync Success / Failure Code,No,
ADReplicationResult,LastSyncResultMessage,19,System.String,string,Last Replication Sync Message,No,
ADReplicationResult,MG,22,System.String,string,Id of the management group for System Center Operations Manager agents. ,No,
ADReplicationResult,PartitionName,5,System.String,string,Partition Name,No,
ADReplicationResult,PercentOfTSL,11,System.Double,real,Percentage of Tombstone Lifecycle,No,
ADReplicationResult,PercentOfTSLRange,20,System.String,string,Percentage of Tombstone Lifecycle Range,No,
ADReplicationResult,ReplicationNeighborOption,16,System.String,string,,No,
ADReplicationResult,SourceInvocationId,17,System.String,string,Unique Id assigned to a Domain Controller,No,
ADReplicationResult,SourceServer,3,System.String,string,Source Server Name,No,
ADReplicationResult,SourceSiteName,14,System.String,string,Source Site Name,No,
ADReplicationResult,SourceSystem,23,System.String,string,Source of the Output,Yes,
ADReplicationResult,TenantId,21,System.String,string,ID of the worksapce that stores this record,No,
ADReplicationResult,TombstoneLifetime,10,System.String,string,Length of time a deleted object persisted in the database,No,
ADReplicationResult,TimeGenerated,0,System.DateTime,datetime,Date and time the record was created.,Yes,
ADReplicationResult,Type,25,System.String,string,The name of the table. This will beADReplicationResultfor all records in this table.,Yes,
Alert,_ResourceId,72,System.String,string,ARM Id of the Azure resource associated with the alert,Yes,
Alert,AlertContext,16,System.String,string,Details of the data item that caused the alert to be generated in XML format.,No,
Alert,AlertDescription,8,System.String,string,Detailed description of the alert.,No,
Alert,AlertError,57,System.String,string,,No,
Alert,AlertId,6,System.String,string,GUID of the alert.,No,
Alert,AlertName,7,System.String,string,Name of the alert.,No,
Alert,AlertPriority,2,System.String,string,Priority level of the alert.,No,
Alert,AlertRuleId,37,System.String,string,,No,
Alert,AlertRuleInstanceId,38,System.String,string,,No,
Alert,AlertSeverity,3,System.String,string,Severity level of the alert.,No,
Alert,AlertState,10,System.String,string,Latest resolution state of the alert.,No,
Alert,AlertStatus,59,System.Int32,int,,No,
Alert,AlertTypeDescription,55,System.String,string,,No,
Alert,AlertTypeNumber,56,System.Int32,int,,No,
Alert,AlertUniqueId,31,System.String,string,,No,
Alert,AlertValue,63,System.Int32,int,,No,
Alert,Comments,64,System.String,string,,No,
Alert,Computer,51,System.String,string,,No,
Alert,Custom1,18,System.String,string,,No,
Alert,Custom10,27,System.String,string,,No,
Alert,Custom2,19,System.String,string,,No,
Alert,Custom3,20,System.String,string,,No,
Alert,Custom4,21,System.String,string,,No,
Alert,Custom5,22,System.String,string,,No,
Alert,Custom6,23,System.String,string,,No,
Alert,Custom7,24,System.String,string,,No,
Alert,Custom8,25,System.String,string,,No,
Alert,Custom9,26,System.String,string,,No,
Alert,Expression,70,System.String,string,,No,
Alert,Flags,67,System.Int32,int,,No,
Alert,FlagsDescription,66,System.String,string,,No,
Alert,HostName,53,System.String,string,,No,
Alert,LastModifiedBy,12,System.String,string,Name of the user who last modified the alert.,No,
Alert,LinkToSearchResults,41,System.String,string,,No,
Alert,ManagementGroupName,29,System.String,string,Name of the management group for System Center Operations Manager agents. ,No,
Alert,MG,28,System.String,string,Id of the management group for System Center Operations Manager agents. ,No,
Alert,ObjectDisplayName,50,System.String,string,,No,
Alert,PriorityNumber,52,System.Int32,int,,No,
Alert,Query,34,System.String,string,,No,
Alert,QueryExecutionEndTime,33,System.DateTime,datetime,,No,
Alert,QueryExecutionStartTime,32,System.DateTime,datetime,,No,
Alert,RemediationJobId,35,System.String,string,,No,
Alert,RemediationRunbookName,36,System.String,string,,No,
Alert,RepeatCount,9,System.Int32,int,Number of times the same alert was generated for the same monitored object since being resolved.,No,
Alert,ResolvedBy,11,System.String,string,Name of the user who resolved the alert. Empty if the alert has not yet been resolved.,No,
Alert,ResourceId,46,System.String,string,,No,
Alert,ResourceType,47,System.String,string,,No,
Alert,ResourceValue,48,System.String,string,,No,
Alert,RootObjectName,49,System.String,string,,No,
Alert,ServiceDeskConnectionName,42,System.String,string,,No,
Alert,ServiceDeskId,43,System.String,string,,No,
Alert,ServiceDeskWorkItemLink,44,System.String,string,,No,
Alert,ServiceDeskWorkItemType,45,System.String,string,,No,
Alert,SourceDisplayName,4,System.String,string,Display name of the monitoring object that generated the alert.,No,
Alert,SourceFullName,5,System.String,string,Full name of the monitoring object that generated the alert.,No,
Alert,SourceSystem,30,System.String,string,,Yes,
Alert,StateType,54,System.String,string,,No,
Alert,StatusDescription,58,System.String,string,,No,
Alert,TemplateId,65,System.String,string,,No,
Alert,TenantId,0,System.String,string,ID of the workspace that stores this record,No,
Alert,ThresholdOperator,39,System.String,string,,No,
Alert,ThresholdValue,40,System.Int32,int,,No,
Alert,TicketId,17,System.String,string,Ticket ID for the alert if the System Center Operations Manager environment is integrated with a process for assigning tickets for alerts. Empty of no ticket ID is assigned.,No,
Alert,TimeLastModified,15,System.DateTime,datetime,Date and time that the alert was last changed.,No,
Alert,TimeRaised,13,System.DateTime,datetime,Date and time that the alert was generated.,No,
Alert,TimeResolved,14,System.DateTime,datetime,Date and time that the alert was resolved. Empty if the alert has not yet been resolved.,No,
Alert,TriggerId,60,System.String,string,,No,
Alert,Url,61,System.String,string,,No,
Alert,ValueDescription,62,System.String,string,,No,
