#TYPE System.Management.Automation.PSCustomObject
"Article","LineNumber","Term","Line"
"\azure-management.md","56","log analytics","- Log Analytics"
"\azure-monitor-rebrand.md","25","log analytics","## Log Analytics redefinition"
"\azure-monitor-rebrand.md","34","log analytics","- Log Analytics"
"\continuous-monitoring.md","62","metrics explorer","- [Maintain separate monitoring instances](../application-insights/app-insights-separate-resources.md) between your different deployment environments such as Dev, Test, Canary, and Prod. This ensures that collected data is relevant across the associated applications and infrastructure. If you need to correlate data across environments, you can use [multi-resource charts in Metrics Explorer](../monitoring-and-diagnostics/monitoring-metric-charts.md) or create [cross-resource queries in Azure Monitor](log-query/cross-workspace-query.md)."
"\overview.md","37","log analytics","Log data collected by Azure Monitor can be analyzed with [queries](log-query/log-query-overview.md) that quickly retrieve, consolidate, and analyze collected data.  You can create and test queries using [log analytics](../log-analytics/log-analytics-log-search-portals.md) in the Azure portal and then either directly analyze the data using these tools or save queries for use with [visualizations](visualizations.md) or [alert rules](../monitoring-and-diagnostics/monitoring-overview-alerts.md)."
"\overview.md","39","kusto","Azure Monitor uses a version of the [Data Explorer query language](/azure/kusto/query/) that is suitable for simple log queries but also includes advanced functionality such as aggregations, joins, and smart analytics. You can quickly learn the query language using [multiple lessons](log-query/get-started-queries.md).  Particular guidance is provided to users who are already familiar with [SQL](log-query/sql-cheatsheet.md) and [Splunk](log-query/splunk-cheatsheet.md)."
"\overview.md","72","log analytics","Azure Monitor for containers is a feature designed to monitor the performance of container workloads deployed to managed Kubernetes clusters hosted on Azure Kubernetes Service (AKS). It gives you performance visibility by collecting memory and processor metrics from controllers, nodes, and containers that are available in Kubernetes through the Metrics API. Container logs are also collected.  After you enable monitoring from Kubernetes clusters, these metrics and logs are automatically collected for you through a containerized version of the Log Analytics agent for Linux."
"\visualizations.md","28","log analytics","- Deep integration into Azure. Visualizations can be pinned to dashboards from multiple Azure pages including metrics analytics, log analytics, and Application Insights."
"\insights\ad-assessment.md","2","log analytics","title: Optimize your Active Directory environment with Azure Log Analytics | Microsoft Docs"
"\insights\ad-assessment.md","17","log analytics","# Optimize your Active Directory environment with the Active Directory Health Check solution in Log Analytics"
