TopicKey,Title,Service,SubService,LiveUrl,GitFileName
34f31b8d-e41c-b275-e818-8f5c63662c38,Analytics - the powerful search and query tool of Azure Application Insights | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/application-insights/app-insights-analytics,app-insights-analytics.md
4ae6c0be-2d1b-6f6e-e3d9-8b9ecef3c7a6,Quickstart with Azure Application Insights | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/application-insights/app-insights-java-quick-start,app-insights-java-quick-start.md
538b41c0-3427-bb60-7ce0-2f081a60b64e,What is Azure Application Insights? | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/application-insights/app-insights-overview,app-insights-overview.md
5807a432-2308-cd12-5e54-b0961854ccb7,Azure Monitor Documentation | Microsoft Docs,Azure Monitor,general,https://docs.microsoft.com/en-us/azure/azure-monitor/,index.yml
bfac0c71-40e5-d7a3-8a1a-00af8b78803f,Set Alerts in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/alerts,alerts.md
7d634ec3-1b88-2202-5d2d-a0b104170d1c,Set Alerts in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/alerts,alerts.md
aecc0daa-93a7-c4f8-1eda-6e7172e68930,Release annotations for Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/annotations,annotations.md
c00a86ed-30a8-cce8-1a22-2fc9d0b0aed3,Application Insights API for custom events and metrics - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/api-custom-events-metrics,api-custom-events-metrics.md
531915ab-2c75-b11c-17e7-c52b72e58ff1,Filtering and preprocessing in the Azure Application Insights SDK - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/api-filtering-sampling,api-filtering-sampling.md
f503c1bf-ceff-85bb-8e75-890235554d02,What is Azure Application Insights? - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview,app-insights-overview.md
d9d29fc5-1ae8-ef75-9b0d-4c9b0dc60d50,Application Map in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-map,app-map.md
2f267c9b-e862-d8ad-d0b2-ffa6145657aa,Set up web app analytics for ASP.NET with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net,asp-net.md
ae7e77fe-44ad-c904-43b6-aa0e9c2a670f,Azure Application Insights for ASP.NET Core applications - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net-core,asp-net-core.md
8cf75a08-603c-6d05-65cd-ecf4ac265621,Dependency Tracking in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net-dependencies,asp-net-dependencies.md
2209c7ff-d5cb-5e6b-fab9-3c6d6d5b8ec5,Diagnose failures and exceptions with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net-exceptions,asp-net-exceptions.md
eb4e2f02-6851-60d6-db1f-51ee1b251eb1,Get more out of Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net-more,asp-net-more.md
bec089c3-338e-f6c9-e7e8-a971479f0150,Explore .NET trace logs in Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net-trace-logs,asp-net-trace-logs.md
b548bfe2-affe-54b0-aac6-dd53ab215a26,Troubleshooting no data - Application Insights for .NET - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/asp-net-troubleshoot-no-data,asp-net-troubleshoot-no-data.md
02525948-0702-071e-5c8a-48cd9f2d48ed,Azure Application Insights - Dependency Auto-Collection - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/auto-collect-dependencies,auto-collect-dependencies.md
fd728a74-ae05-57fe-1532-288366177553,Automate custom reports with Azure Application Insights data - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/automate-custom-reports,automate-custom-reports.md
f8986465-6aee-5642-0521-e2793e025940,Automate Azure Application Insights processes with Microsoft Flow - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/automate-with-flow,automate-with-flow.md
272cd454-91da-eb8c-ecf1-ebc166322834,Automate Azure Application Insights processes by using Logic Apps - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/automate-with-logic-apps,automate-with-logic-apps.md
0e993dad-3268-36a1-85f7-6b215dd510ca,Set up availability alerts with Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/availability-alerts,availability-alerts.md
7b4a1962-0897-79f8-fd86-fe7100bf06ca,Create and run custom availability tests using Azure Functions - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/availability-azure-functions,availability-azure-functions.md
c17b3f6f-4d03-e68e-dc14-33909ee9c3e8,Monitor with multi-step web tests - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/availability-multistep,availability-multistep.md
46805765-b68b-e044-eb1f-a826b0d25636,Azure Application Insights - Azure Functions Supported Features - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/azure-functions-supported-features,azure-functions-supported-features.md
878b69f0-d6a4-3af1-6f3c-320a666b62a5,Monitor performance on Azure VMs - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/azure-vm-vmss-apps,azure-vm-vmss-apps.md
e1227d32-9912-64cb-dbcc-1d05fc097301,Monitor Azure app services performance - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/azure-web-apps,azure-web-apps.md
8127765d-6d0b-471a-f325-5f28a6b13a8a,Monitor Azure app services performance - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/azure-web-apps,azure-web-apps.md
8241389a-477d-c163-7f60-c81400ca293d,Use Application Change Analysis in Azure Monitor to find web-app issues - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/change-analysis,change-analysis.md
229181a9-b96d-c3e7-e957-300ad2df895e,Application Insights for Azure cloud services - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/cloudservices,cloudservices.md
f8b7b632-97e6-eb07-4459-1dfd94f4e912,Export to SQL from Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/code-sample-export-sql-stream-analytics,code-sample-export-sql-stream-analytics.md
e59f9c9e-6e4c-f689-4976-ce6d4abca3f5,ApplicationInsights.config reference - Azure - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/configuration-with-applicationinsights-config,configuration-with-applicationinsights-config.md
3c2b1fe6-0da1-8635-c8f2-f1afbf13def7,Azure Application Insights for Console Applications - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/console,console.md
4fd7bf59-044b-1e7f-4367-58b190b76a34,Continuous monitoring of your DevOps release pipeline with Azure Pipelines and Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/continuous-monitoring,continuous-monitoring.md
b75a3672-c514-da5e-14c6-dc45c1021e27,Azure Application Insights telemetry correlation - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/correlation,correlation.md
41018a55-9fab-fc12-3bf9-a1b079714a3d,Create a new Azure Application Insights resource - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/create-new-resource,create-new-resource.md
3b080155-121e-6a79-4e2f-82e449e97201,Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/custom-data-correlation,custom-data-correlation.md
893169bb-8338-1b1b-b8f1-c6c1a3bd9f0e,Azure Application Insights override default SDK endpoints - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/custom-endpoints,custom-endpoints.md
c09b5c22-5b7d-db06-3cde-05f8fe07dac8,Track custom operations with Azure Application Insights .NET SDK - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/custom-operations-tracking,custom-operations-tracking.md
31563515-8dd8-62b4-3a0d-9460d008588d,Azure Application Insights Telemetry Data Model - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model,data-model.md
eca29942-1041-9180-08bc-f9454150bc19,Azure Application Insights Telemetry Data Model - Telemetry Context - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-context,data-model-context.md
e08c16dc-9120-8dfd-d49d-b0b6f5a88bd1,Azure Monitor Application Insights Dependency Data Model - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-dependency-telemetry,data-model-dependency-telemetry.md
ebbee6cb-bb7f-e3ce-e1a7-b9629bf22232,Azure Application Insights Telemetry Data Model - Event Telemetry - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-event-telemetry,data-model-event-telemetry.md
e64fc764-971d-5179-3a30-5a454cbf1325,Azure Application Insights Exception Telemetry Data model - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-exception-telemetry,data-model-exception-telemetry.md
4ceb7497-bce8-4ca4-4f7c-5d4b29521f36,Data model for metric telemetry - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-metric-telemetry,data-model-metric-telemetry.md
efa9cfc1-877f-665c-d872-6bd5381c89bb,Data model for request telemetry - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-request-telemetry,data-model-request-telemetry.md
e24fdc55-70c9-44ed-09d1-b45cdffa7ded,Azure Application Insights Data Model - Trace Telemetry - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-model-trace-telemetry,data-model-trace-telemetry.md
1ccd42b4-d922-a303-9af5-ad261cdfa6fc,Data retention and storage in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/data-retention-privacy,data-retention-privacy.md
64518fa7-f54f-32e0-4a72-07cb1faa4c9a,Web app performance monitoring - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/devops,devops.md
0355344f-a026-a041-a4de-4593c5977899,Using Search in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/diagnostic-search,diagnostic-search.md
434a47e7-a2a3-804b-43b8-874bcc559dad,Distributed Tracing in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/distributed-tracing,distributed-tracing.md
cfe78872-af5e-1663-9c3f-f6c8c6b2fe22,Monitor Docker applications in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/docker,docker.md
f6fcd76d-81d0-3741-d536-34f525102342,Event counters in Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/eventcounters,eventcounters.md
dcad518b-1a35-ede9-7d7a-d70331a30f31,Azure Application Insights Data Model - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-data-model,export-data-model.md
0937479f-6baf-2c43-eabb-a032e6db08b0,Export to Power BI from Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-power-bi,export-power-bi.md
8d7ebc39-748a-9224-7a76-7f56b1ee6127,Export using Stream Analytics from Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-stream-analytics,export-stream-analytics.md
01346374-c52b-de29-8202-2acff9ba0780,Continuous export of telemetry from Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/export-telemetry,export-telemetry.md
cef77eed-41ae-f58d-69ac-c044d77d296c,Exploring HockeyApp data in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/hockeyapp-bridge-app,hockeyapp-bridge-app.md
206a5540-2ebb-87db-32d3-ee8b89af3d0b,How do I ... in Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/how-do-i,how-do-i.md
c3bc1b58-9e6a-d676-00ac-3eb0043854f6,Explore .NET trace logs with ILogger - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/ilogger,ilogger.md
a4c34daf-7469-3231-fcc5-f45fda47f74f,IP addresses used by Application Insights and Log Analytics - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/ip-addresses,ip-addresses.md
c9e26e8f-e149-9399-2c23-3e4343c76451,Azure Application Insights IP address collection - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/ip-collection,ip-collection.md
8ac28233-31f7-7105-33ac-1debf1b9020e,Java web apps performance monitoring - Azure Application Insights - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-agent,java-agent.md
4c3fa88c-ad5a-8f15-c881-4b0d6109efcb,Monitor Java web app performance on Linux - Azure - Azure Monitor | Microsoft Docs,Azure Monitor,application-insights,https://docs.microsoft.com/en-us/azure/azure-monitor/app/java-collectd,java-collectd.md
